gene,mean_expression,variance,rank
SSR4,1.36828225828362,0.9562211404502654,216
DDT,1.1968854612976587,0.9533812859590269,217
PSAP,1.08545130567399,0.9523131475340141,218
RPL5,2.3592936974706586,0.9514328114954038,219
RHOB,0.7940616417562028,0.950859268741765,220
NDUFB1,1.2521493527878527,0.9503345015023497,221
RPS5,2.175570839721375,0.9495975801007779,222
TNFSF10,0.6476512514208825,0.9438049956778137,223
GNAS,1.498907250248599,0.9428145972500315,224
TPI1,1.3797890758289209,0.9419987681865887,225
RPS4Y1,0.6070663011676515,0.9402416301142196,226
DDX17,1.1056898212752795,0.9400798384577478,227
CLIC1,1.4218637730806485,0.9382246349280421,228
PPIB,1.2405301863592073,0.9309420253380158,229
KRT8,0.8085105904312516,0.9299872445341225,230
ITGB1,0.9129029091266608,0.9299279116124072,231
MYL12B,1.8968240369107996,0.9298846345274328,232
MT-ATP8,0.8968527958497245,0.9288983234979125,233
RPL10A,2.1822501385638007,0.9281907612468876,234
CSTB,1.2617847010944723,0.9280288548163915,235
RPLP0,1.7824583294670826,0.9269363840769853,236
CFL1,1.8096140798995317,0.9269214031129325,237
LDHA,1.0685704335689565,0.9254447217524355,238
OAZ1,1.6564357649887387,0.9242201096898666,239
UBC,1.6699433327429396,0.9193058030753258,240
SLC25A3,1.3856800322699974,0.9171414602435299,241
BTG1,0.8639192972842261,0.9141323668514865,242
ARPC3,1.269853387173416,0.9127081334338603,243
HSP90AB1,1.2786801906850136,0.9126915482795888,244
ATP5L,0.4705505331260013,0.912489629713449,245
RPL27A,1.9247902129376655,0.9118070748880385,246
VAMP8,1.2240009998989023,0.9078756638065433,247
SRP14,2.0954716548515466,0.9076243387890504,248
SLC25A6,1.3048703479123225,0.9073924258902053,249
COX5A,1.033799751712853,0.9068308871418638,250
ID1,0.5001860605011613,0.9066200834406357,251
CHCHD2,1.7572508515592016,0.9065393584249382,252
CA12,0.6412277491639953,0.9060746598563632,253
ATOX1,1.076093644208427,0.9060539248911315,254
NPM1,1.4448018816417547,0.9033434291744777,255
RPS3,2.8604527442809284,0.9033003345332844,256
TSC22D1,0.7779200914834417,0.9030883036797166,257
TMEM176A,0.715741754144207,0.902698603504401,258
PRDX6,1.162091350406648,0.9014094639411325,259
ZFP36L1,0.9057810082293968,0.9007685813376909,260
HMGN3,1.1471442763416813,0.9000648301186913,261
BRI3,1.1624472280461744,0.9000112060413437,262
MGST1,0.6210667502303149,0.8999519174201485,263
UBB,1.9543777348682732,0.8996356412797355,264
TSPO,1.1085747207818752,0.8986481737753609,265
LGALS2,0.4914176273487462,0.8982071205222962,266
BTF3,1.6130200132652275,0.8976665784947166,267
FKBP2,1.0016593645229375,0.8975660774358871,268
NDUFC2,1.2382507970865928,0.8972692899774788,269
NDUFB7,1.3535202285222065,0.8967107703585442,270
SEC61G,1.331789469806798,0.8945063375491149,271
RPL7,1.6100984524945332,0.8933177563860952,272
HMGB1,1.4945859450342587,0.8931960675343769,273
CA2,0.6500361242299532,0.8924049593269177,274
NDUFA3,1.183239266898163,0.8917851996081103,275
UBL5,1.8782112681028864,0.8914789753739218,276
SELENOM,0.7039971038496528,0.8898688286098002,277
HSPA8,1.18807234934844,0.8898118866870652,278
PHPT1,1.1420359748287008,0.8890682805937118,279
KNG1,0.3907273156799809,0.8888781625592482,280
COTL1,0.5868198557775257,0.8883034880791778,281
YBX1,1.3703046523418716,0.8880575813089284,282
SUB1,1.3713508668575953,0.8875087706729903,283
HCST,0.4094063924029444,0.885872332539085,284
COMMD6,1.4901813038083167,0.8857546967340193,285
RPL38,1.948104767621626,0.8854083857250634,286
OST4,1.705766402409487,0.8849998365004699,287
RPS16,1.8739600872140056,0.8849104153899812,288
YWHAE,1.2403433048420502,0.8848419976588893,289
SOD2,0.7104826309178357,0.8846222228438336,290
NACA,2.3549583575138686,0.88434274099364,291
SYNE2,0.7840136979097717,0.8843420458564055,292
EIF3K,1.4549504573476455,0.8841493158411038,293
CRIP1,0.49017003590640773,0.8839427161016232,294
ATP5I,0.45521706140912127,0.88342238659786,295
TOMM7,1.5925116723542048,0.8824010878627044,296
RARRES3,0.6211079525011983,0.8821283844890653,297
N4BP2L2,1.0069848522186433,0.8792369188248284,298
DDX5,1.2185385722593967,0.8785821852672924,299
RPL14,2.5516532855672778,0.877335180046038,300
RPS15A,2.9518846279706246,0.8771792388076154,301
SUCLG1,0.7576713674118657,0.8763792213093379,302
RPL23A,2.1226329940755444,0.8762054252041134,303
RPL37A,1.971945031146312,0.874958388012963,304
MIOX,0.3334434126101646,0.8743778933628855,305
RPL6,2.418920636310166,0.870427821229816,306
EEF1D,1.725283732398155,0.8701114568764243,307
CDC42,1.2553802879615579,0.8693376468276017,308
GSTM3,0.6462747585574088,0.8684654369462506,309
RPL36AL,1.715997295355144,0.8677646305637872,310
GNG5,1.3241098469768156,0.8677048804502308,311
AQP3,0.4047148033190892,0.8675158295316829,312
RPL4,1.3819436307930932,0.8664950219778358,313
RPL13A,1.559320703850389,0.8659591877780315,314
COL18A1,0.8173587753188342,0.8658272541647513,315
RPS21,2.4735059380948456,0.8649991166898507,316
DCXR,0.7374095548015553,0.8647242305627323,317
KRT7,0.5067920914121766,0.8646326611292626,318
SUMO2,1.5446553684469189,0.8643703067339943,319
RPL12,2.775589199366557,0.8627206787686452,320
DAD1,1.209917060201104,0.8617284316322253,321
RPL23,1.5252341794120152,0.8609089198238475,322
HNRNPA1,1.3277241833859486,0.8599275710670524,323
EMP3,0.572799548958061,0.8585133822174671,324
SELENOW,0.789187801711582,0.8568227777536028,325
H3F3A,2.069912771432892,0.8565560738968463,326
ANXA1,0.5804772010999895,0.8562878205381463,327
NPC2,0.9410932261668398,0.85607415989209,328
RPL27,2.0954774655056787,0.8558481500263344,329
NDUFB11,1.240177909722509,0.8552086516127306,330
C11orf54,0.63052656525827,0.854359841417842,331
EDF1,1.6943254314735974,0.8540862058023628,332
TUBA1B,0.8421161775925664,0.8536929906036135,333
HNRNPA2B1,1.3299196475799746,0.8528720100252232,334
TSTD1,0.9657559566466537,0.8517227557986743,335
TMA7,1.8721736929890558,0.8506349747987425,336
FIS1,1.1882596215991512,0.850115985305876,337
RPLP2,2.1977255928531103,0.8495592317012877,338
ATP6V1G1,1.2113234099797132,0.8495578401412216,339
CIRBP,1.273923281921572,0.8483027153996427,340
