gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
UXS1,0.32125462977027974,0.22499462730727118,0.09626000246300856,0.27414907777143943,0.18519814102243765,0.08895093674900179,1.4475330056949503e-69,9.20042164636621e-69,0.0001330648908366,7.751752112500854e-05,UP_in_CKD
ATP6V1F,1.2741735572189974,1.1636725398878849,0.1105010173311125,0.6915763453127971,0.6260056968667232,0.06557064844607385,7.43098196671782e-30,2.075693286792687e-29,0.0003724242236397,7.739907638128434e-05,UP_in_CKD
SPCS2,0.9906566094568987,0.8844806761724784,0.10617593328442032,0.6225993534892565,0.5361551146869222,0.08644423880233432,2.2032178092265635e-34,6.885055653833011e-34,0.00025415815035,7.73585124011111e-05,UP_in_CKD
ECI2,0.40697074188395954,0.32055297805837496,0.08641776382558458,0.3296729416238829,0.24736394982759483,0.08230899179628806,1.0734394656256838e-42,4.118054215955309e-42,0.00026137937019,7.694276773931106e-05,UP_in_CKD
GADD45B,0.48643623513223166,0.41380956240622746,0.0726266727260042,0.30899410534322114,0.25745839788116537,0.05153570746205577,1.22188300215388e-19,2.59790858005786e-19,0.0011055673608573,7.690612933839062e-05,UP_in_CKD
ANXA11,0.7737067076556444,0.6664177758875,0.10728893176814447,0.5325632249477087,0.44250662135825297,0.09005660358945572,1.879397152998046e-40,6.859113697073159e-40,0.0002027461239073,7.671973873798484e-05,UP_in_CKD
RTRAF,0.44279573011688883,0.5675360914475095,-0.12474036133062066,0.34212778094694807,0.3902853430613163,-0.048157562114368224,2.4618060190164423e-68,1.5386287618852764e-67,0.0001909660694015,7.664570142675051e-05,UP_in_AKI
TNS1,0.3247586228698496,0.22793013399037879,0.09682848887947079,0.267969195664575,0.1847483883863875,0.08322080727818751,3.125326283242555e-67,1.925252330539562e-66,0.0001439806276764,7.624423991191582e-05,UP_in_CKD
SON,0.8109872544567646,0.7172393028548343,0.09374795160193028,0.5522437725803385,0.46469441807006145,0.08754935451027707,3.762917017777169e-29,1.0299955340630936e-28,0.0003318246974667,7.622235198101235e-05,UP_in_CKD
UACA,0.26490326218012467,0.16042429231488714,0.10447896986523753,0.2017969195664575,0.12228274449053021,0.0795141750759273,3.3620713107919846e-83,2.661270166853814e-82,0.0001117550515062,7.573510144683389e-05,UP_in_CKD
CHURC1,0.6176484053350747,0.5191905694012162,0.09845783593385848,0.46529758509222285,0.3728949078007096,0.09240267729151325,5.874234336215289e-41,2.175642346746403e-40,0.0002096137904917,7.563691710953462e-05,UP_in_CKD
KIAA1109,0.36503744564628554,0.2655787066606653,0.09945873898562024,0.29691956645750145,0.2047873669481785,0.09213219950932294,1.4941925053204075e-62,8.425897586393275e-62,0.0001345887213579,7.53220530877036e-05,UP_in_CKD
C19orf24,0.272309203137378,0.3789761342816323,-0.1066669311442543,0.2335995436394752,0.28824146719304383,-0.054641923553568644,8.345496977895205e-71,5.4074494457204356e-70,0.0001859897323832,7.50881103305119e-05,UP_in_AKI
C1orf56,0.43462111893879646,0.3405628424549335,0.09405827648386295,0.3240635101730367,0.245265104192694,0.07879840598034268,2.7142894401406904e-43,1.0602693125549572e-42,0.0002413104004887,7.507181014634939e-05,UP_in_CKD
