gene,importance
LRP2,0.001114786439220527
EGFL7,0.0011121352078960315
ADAMTS1,0.0011102060290707468
ANPEP,0.0011085132410980907
SDPR,0.0011043348128016248
VCAM1,0.0011043120542450077
AK4,0.0011001570861065865
LAPTM5,0.001100142119527412
ARL4C,0.001097433328549201
CD37,0.0010967568540146422
SUCNR1,0.001088373128024146
VCAN,0.0010867377558987695
ACPP,0.0010797303069569131
DUSP2,0.0010722420099860594
CTGF,0.001071304098138274
FYB,0.0010678683570995988
RBP4,0.0010638234677299765
AREG,0.0010601151632126913
MUC20,0.0010551719410252921
ANK2,0.0010502552923387328
PRODH2,0.0010485110622146466
TYROBP,0.0010483972193748514
NAPSA,0.0010463380569305514
C10orf54,0.001036527900984636
AKR7A3,0.0010327080839674686
ADGRF5,0.00103189274010995
PLAT,0.0010276887567131528
TRBC2,0.0010264563897678645
KLK1,0.0010250595764849464
IFI30,0.0010240688588279525
SPINK1,0.0010229395960965532
IRF1,0.0010143555115052628
SLC12A3,0.0010104405068871117
C11orf96,0.001010031493258674
TM4SF1,0.0010098418424355404
CD3D,0.0010092175471492118
KLF4,0.001001989351764035
PAH,0.0010017522610497444
CXCL12,0.0010009779828562292
SLC4A9,0.0009992212411527419
ISG20,0.000998237035685878
TNFAIP3,0.000986304900950282
ACSM2A,0.0009837175418619091
CPE,0.0009759515423672641
CUBN,0.0009729668188266584
CLDN16,0.0009577195576448972
CD48,0.000956643239734547
ITGB2,0.000953699057588683
SNCG,0.0009520164025534183
RAMP2,0.0009456873882490381
PLAU,0.000928950295604248
CAVIN2,0.000923421182350638
UGT2A3,0.0009222671644713518
AP1S2,0.0009219631932867137
FSTL3,0.0009153354613658138
EMP1,0.0009123628003440444
HMOX1,0.0009116968994609466
BIRC3,0.0009105362716158479
PRAP1,0.0009042943303212821
AGR2,0.0009041953234021038
PLPP1,0.0009017730756833875
SOX18,0.0009016898126619213
SLC9A3,0.0008945888419387417
SLC16A9,0.0008924376864008623
ADH1C,0.0008914313377721389
MME,0.0008765516994323539
CYP1B1,0.0008700228191621147
LINC01187,0.0008649421752832335
RGS1,0.0008536721081687369
NKG7,0.0008523536435316659
RBP7,0.0008490574217842711
MEIS2,0.0008457945885327633
CST6,0.0008447492640457999
S100A9,0.0008445528158326477
CLTRN,0.000843020059988683
PPAP2B,0.0008413230401988125
TRDC,0.000836881018591315
CLEC2B,0.0008367910598208737
ITGA1,0.0008355879694808314
SAMSN1,0.0008345706898837519
PODXL,0.0008287019877407049
SPON2,0.0008281741524517482
DPYS,0.000827680410468024
CD53,0.0008254548740737413
HRSP12,0.0008245602598178958
NOTCH3,0.0008191234229156383
PLG,0.0008173905571515076
ERO1L,0.0008144912349826466
HLA-DQA1,0.0008112227161157668
IRF7,0.0008043643442579064
EGR2,0.0008022262396005978
APOC1,0.0008006804458316668
ACSM2B,0.0008002971861611539
DDC,0.0007998120962187954
FHL1,0.0007992172206195118
SLC22A8,0.0007990995225049507
LYZ,0.0007971016403217034
IL7R,0.0007970219342972176
CCL2,0.0007962851321667783
PALM2-AKAP2,0.000794155684610156
GPR116,0.0007894741522467891
EMCN,0.0007868807609238802
LIME1,0.0007838413037347706
NR2F1,0.0007812950203212048
GLYATL1,0.0007775312332193926
GIMAP7,0.0007761086325195164
PTPRB,0.00077464695981442
SLC22A6,0.0007716391838767381
PSAT1,0.0007715691434703777
TRAC,0.0007707921782292204
CAVIN1,0.0007666662335457914
LST1,0.0007643944029049866
DMRT2,0.0007617311187992456
ACY3,0.0007608314349944701
HAO2,0.0007604896440096062
MIR24-2,0.0007584508833737703
PPAP2A,0.0007535949104932733
FOXI1,0.0007506711989502164
FKBP11,0.0007489007882865833
PRKCDBP,0.0007467315271930113
ENG,0.0007462150280380013
TFF2,0.0007364151425274066
CRYAA,0.0007341654899414372
AC087379.2,0.0007282725405666901
